feature_group,n_features,mean_abs_shap_sum,std_abs_shap_sum,mean_abs_shap_mean,mean_perm_mae_increase_sum
calendar,20,435.4444043143583,166.21517952799965,21.772220215717915,322.231723071184
historical_target,8,42.111218912499446,13.169478289113805,5.263902364062431,35.26459031289687
historical_load,4,4.383103237293048,0.09737883898008791,1.095775809323262,1.386052547261102
historical_generation,36,151.7809088095106,12.296459468384697,4.216136355819739,121.60642458883483
historical_weather,100,86.9805344263371,12.715219725237528,0.8698053442633711,44.201265165925946
day_ahead_forecast,6,13.941883928039562,1.1794937199348656,2.323647321339927,7.643673768949917
weather_aggregate,10,49.77645022226563,7.903965734806529,4.977645022226563,42.33438392622786
diğer,3,3.7322624816212344,1.1074946740968026,1.2440874938737447,0.5552239161274923
