fold,feature,feature_group,std_coef,mean_abs_shap,mean_shap,perm_mae_increase,n_val
1,clouds_all_barcelona_lag_168,historical_weather,2.1903760895483955,2.1450897246615037,0.25376102474923506,0.7780107042396267,2980
1,clouds_all_barcelona_lag_24,historical_weather,8.042848760256298,8.004231358724084,0.8428815531652994,6.925872294891584,2980
1,clouds_all_bilbao_lag_168,historical_weather,3.0765506031190726,3.0882357167170498,-0.6671603551795029,1.3470876812485475,2980
1,clouds_all_bilbao_lag_24,historical_weather,10.64315774718066,10.585340700300703,-1.7506156029457516,9.16799745626832,2980
1,clouds_all_madrid_lag_168,historical_weather,2.4248886804148904,2.385010747732763,0.6880557833900454,1.008691545272713,2980
1,clouds_all_madrid_lag_24,historical_weather,9.094620853321722,8.929421246241084,2.703521859086014,8.015079957262842,2980
1,clouds_all_national_mean_lag_168,weather_aggregate,-8.09368172366476,7.136503903777771,-1.1793118166253977,5.943109060100423,2980
1,clouds_all_national_mean_lag_24,weather_aggregate,-27.068065556979285,23.526197814907473,-4.329433174855756,27.931638415667262,2980
1,clouds_all_seville_lag_168,historical_weather,2.358759607726934,1.9249151783203184,0.19896027672815705,0.6997124287756389,2980
1,clouds_all_seville_lag_24,historical_weather,8.464401955864245,6.879774122424563,0.6875302412050293,5.486120610268597,2980
1,clouds_all_valencia_lag_168,historical_weather,2.6932759660114556,2.4657451738079224,0.700410950290971,1.058226633707954,2980
1,clouds_all_valencia_lag_24,historical_weather,8.344600039919955,7.599520238680094,1.8893341633033651,6.5015386104069846,2980
1,day_of_month,calendar,17.323927592116913,14.798427639897186,0.322878436621038,15.641945912401983,2980
1,day_of_week,calendar,-0.7741932239743637,0.6561762872126585,0.0010903300530694395,0.005323336436210191,2980
1,day_of_year,calendar,-186.1562447358454,288.75120127817064,-222.45374788648837,165.19203377144356,2980
1,day_of_year_cos,calendar,0.7050485682256966,0.6755608348213067,0.6553627979377619,0.16034788820970203,2980
1,day_of_year_sin,calendar,-1.114192591120006,1.168901084542519,1.1563959634444165,-0.16454375094827256,2980
1,dow_cos,calendar,-0.2024080251536515,0.182821082296184,0.0032481062024857297,0.026430804086685633,2980
1,dow_sin,calendar,-0.12010677128105984,0.10710985102052797,-0.001408746660594403,0.007477814734508925,2980
1,forecast_solar_day_ahead,day_ahead_forecast,-0.5832964617207235,0.46521376377632306,0.13051477581369467,0.09625647374324853,2980
1,forecast_solar_share_of_load,day_ahead_forecast,-2.547532212908166,2.0664893797330657,0.5566870538777268,0.7880877746441435,2980
1,forecast_wind_onshore_day_ahead,day_ahead_forecast,0.3788009280348022,0.3086993377763822,-0.06288430484037702,0.04699667958860676,2980
1,forecast_wind_share_of_load,day_ahead_forecast,-7.560995194658692,6.001340749596842,1.2540295965554569,3.9178464409480265,2980
1,fossil_generation_lag_168,historical_generation,-0.3184084814731846,0.296872111427934,-0.1094698331470077,0.011547465196353635,2980
1,fossil_generation_lag_24,historical_generation,-1.2367344625571288,1.1637613253285357,-0.4575087577042077,-0.22876078155835433,2980
1,fraction_high_price_last_14d,diğer,-0.6721270222537796,0.6599260935699907,-0.4041072347861891,-0.04194944272735501,2980
1,fraction_high_price_last_30d,diğer,1.5506461903765123,1.199863708385646,1.0242063303820634,0.37123006032096395,2980
1,fraction_high_price_last_7d,diğer,0.7504455979478304,0.8687694497279835,0.3950037907573571,0.3134525300563151,2980
1,generation_biomass_lag_168,historical_generation,0.04012813230911977,0.045852161750464644,-0.04528460621845924,-0.0036951808130982755,2980
1,generation_biomass_lag_24,historical_generation,-1.8848808486638031,2.098451197807964,2.070710952423255,0.10856120305534667,2980
1,generation_fossil_brown_coal_lignite_lag_168,historical_generation,-0.28346493529468403,0.2745886785689047,-0.15270572740531987,0.013461710538908989,2980
1,generation_fossil_brown_coal_lignite_lag_24,historical_generation,-0.371931004826587,0.3608071270776335,-0.20871759720901725,-0.09557393364337763,2980
1,generation_fossil_gas_lag_168,historical_generation,-2.179321744425286,2.5810068864901643,-1.3762421492211714,1.110154040889773,2980
1,generation_fossil_gas_lag_24,historical_generation,-4.774843254122658,5.786168403495396,-3.1848531826420485,3.924788556530996,2980
1,generation_fossil_hard_coal_lag_168,historical_generation,-1.9347749769226823,1.3366796443903806,-0.11699288476361867,0.3544870267441649,2980
1,generation_fossil_hard_coal_lag_24,historical_generation,-6.898573786469325,4.789760745462311,-0.5097625517087827,1.862365643995056,2980
1,generation_fossil_oil_lag_168,historical_generation,0.31259024434497545,0.23316003933216506,-0.2041983507837372,-0.017613604985448283,2980
1,generation_fossil_oil_lag_24,historical_generation,0.1378968106776358,0.09908445689778195,-0.0834547893202012,-0.010175123327591074,2980
1,generation_hydro_pumped_storage_consumption_lag_168,historical_generation,-0.20798769884644916,0.14993758756152586,0.020388834008360855,0.00945738657684192,2980
1,generation_hydro_pumped_storage_consumption_lag_24,historical_generation,-0.22720257662160417,0.16306925815696224,0.02181569896071553,0.02034786767378538,2980
1,generation_hydro_run_of_river_and_poundage_lag_168,historical_generation,-0.5362417175413917,0.5247703932213552,0.3252278053025177,-0.05544525242115661,2980
1,generation_hydro_run_of_river_and_poundage_lag_24,historical_generation,-5.6388871851803355,5.606284159706351,3.59144494725524,2.531811179153391,2980
1,generation_hydro_water_reservoir_lag_168,historical_generation,-5.874886969060496,5.155451273494824,2.0072618600100802,2.529356459159371,2980
1,generation_hydro_water_reservoir_lag_24,historical_generation,-20.626014056574995,18.236273787800858,7.546226021715377,16.506326578902822,2980
1,generation_nuclear_lag_168,historical_generation,-0.8308881970013338,0.8299696024417021,0.017192115180466854,0.16646764867432307,2980
1,generation_nuclear_lag_24,historical_generation,-2.833413464043583,2.838723473268019,0.1241749497296414,1.601806733065711,2980
1,generation_other_lag_168,historical_generation,-0.384480652734124,0.3032385381271308,0.24875065039425706,0.019347047921480787,2980
1,generation_other_lag_24,historical_generation,-0.24108862476945828,0.19108237102641268,0.1565485155474522,0.03143357799800217,2980
1,generation_other_renewable_lag_168,historical_generation,-0.7909777828594775,1.372505683259681,-1.2998547001659158,0.012014802362734223,2980
1,generation_other_renewable_lag_24,historical_generation,-0.11273154392466461,0.1991366003452967,-0.18872482767402768,-0.033946876756480115,2980
1,generation_solar_lag_168,historical_generation,-5.989782007290428,4.838166317902267,1.2049478188468317,2.566352919148433,2980
1,generation_solar_lag_24,historical_generation,-16.034283439365375,12.840027591951708,3.5726057480806346,10.802651830979151,2980
1,generation_waste_lag_168,historical_generation,-0.20634384342953183,0.25066165353917513,-0.2125604030205532,0.012499670174141109,2980
