rank_mean_abs_shap,feature,feature_group,mean_abs_shap,std_abs_shap,mean_shap,mean_std_coef,std_std_coef,mean_abs_std_coef,direction,n_folds_pos_coef,n_folds_neg_coef,mean_perm_mae_increase,std_perm_mae_increase
123,rain_1h_bilbao_lag_168,historical_weather,0.131792612893534,0.019734184586835082,-0.06608786927196802,0.33597114382263477,0.05093258743668043,0.33597114382263477,+,4,0,0.0026652592683489296,0.0036234676540448656
124,dow_cos,calendar,0.11766573095863074,0.07341544066769463,0.00018927659337213338,-0.1297686834460649,0.08093308557498169,0.1297686834460649,-,0,4,0.010267018071987044,0.011024498253453932
125,dow_sin,calendar,0.11635309561096442,0.05402607539454434,-0.0006773035894616951,-0.1312233684362235,0.06100678522479496,0.1312233684362235,-,0,4,0.008202344879303824,0.003327238610957304
126,wind_deg_cos_barcelona_lag_24,historical_weather,0.11463847512815756,0.01583885543486151,0.012385092389710514,0.13689033884163068,0.02115774360634692,0.13689033884163068,+,4,0,0.003411769665292219,0.003657541129584743
127,hour,calendar,0.1108146741029544,0.034257619085401536,3.0589436462083165e-06,-0.12787035818864742,0.03959456462183284,0.12787035818864742,-,0,4,-0.0012688022782982866,0.0061504110878455726
128,generation_waste_lag_168,historical_generation,0.10757871792844065,0.08407668022922606,-0.043244758036401584,-0.04710431939496547,0.10629979559173189,0.09544670256739636,0,2,2,0.002029774506302706,0.007435135594349608
129,temp_valencia_lag_24,historical_weather,0.10523813540414853,0.0638608446101987,-0.006330199752713674,0.1272547689566484,0.08487864531267801,0.1272547689566484,+,4,0,-0.0038462529546563484,0.009786722447465656
130,rain_1h_barcelona_lag_168,historical_weather,0.10128549987048936,0.024757977918559375,-0.0586409492512321,0.47660527970004624,0.09747968628435644,0.47660527970004624,+,4,0,7.88297115958958e-05,0.002169520590747585
131,pressure_madrid_lag_168,historical_weather,0.09980229785067636,0.030359153050194928,-0.048053043819637764,-0.17781558994005509,0.032446320343184974,0.17781558994005509,-,0,4,-0.0022676058087627293,0.010152294263806419
132,pressure_valencia_lag_24,historical_weather,0.09464894382434906,0.041400202143479954,0.003842391375459255,-0.21345044992062362,0.042302090661572686,0.21345044992062362,-,0,4,-0.00010714790570576227,0.01096245400516287
133,wind_deg_sin_seville_lag_24,historical_weather,0.08814634929499321,0.030891849512399414,-0.007500415101580844,-0.10154919374689331,0.0346732759869784,0.10154919374689331,-,0,4,0.0029069771058134464,0.0030976515259058873
134,wind_deg_cos_madrid_lag_168,historical_weather,0.08407194437736826,0.06758974463145316,0.01478725619277278,0.08727544398970047,0.06980454507556284,0.08727544398970047,+,4,0,-0.000797343479688406,0.004743733459627541
135,renewable_forecast_total,day_ahead_forecast,0.08309371705083098,0.02547669849210574,-0.006397802233816509,0.024761651987943258,0.1110623180429766,0.10798849105461579,+,3,1,0.004521232523307939,0.006831176669389312
136,wind_deg_cos_seville_lag_24,historical_weather,0.08098545124678996,0.04046113175654933,-0.006654950254764509,-0.08569860365179041,0.04165878361211608,0.08569860365179041,-,0,4,-0.003691168851016391,0.008839529336780259
