model,reg_lambda,learning_rate,feature_selector,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,mean_rounds,n_folds,source
gblin_1e-05_eta0p1_shuffle,1e-05,0.1,shuffle,6.4332966018733835,1.6565987128024573,8.411089658181991,0.5317037683601514,14.059610030308837,-2.9850447750670632,82.75,4.0,this_run_dev_folds_only
gblin_1e-04_eta0p1_shuffle,0.0001,0.1,shuffle,6.433464146919762,1.6565348545401493,8.4113309273904,0.531683460655524,14.059928998082276,-2.9854499612944787,82.75,4.0,this_run_dev_folds_only
gblin_1e-03_eta0p1_shuffle,0.001,0.1,shuffle,6.435124073401614,1.655883558958125,8.41371006971572,0.5314832413935754,14.063083978281576,-2.989406921388614,82.75,4.0,this_run_dev_folds_only
gblin_3e-03_eta0p1_shuffle,0.003,0.1,shuffle,6.438810633027442,1.6544477972344862,8.418959834912796,0.5310405912419658,14.070069913545039,-2.9979817292947115,82.75,4.0,this_run_dev_folds_only
gblin_1e-02_eta0p1_shuffle,0.01,0.1,shuffle,6.451651393721193,1.649618912490982,8.436918548947338,0.529518932016302,14.09436004040466,-3.025873478480883,82.75,4.0,this_run_dev_folds_only
gblin_1e-06_eta0p1_cyclic,1e-06,0.1,cyclic,6.462836151898303,1.794630398187012,8.438185090852734,0.5307190993441404,14.157830569785455,-3.107140949157014,83.75,4.0,this_run_dev_folds_only
gblin_1e-05_eta0p1_cyclic,1e-05,0.1,cyclic,6.46284987530551,1.7946223067235376,8.438206429628693,0.5307173434733399,14.15785658444985,-3.107181002396331,83.75,4.0,this_run_dev_folds_only
gblin_1e-04_eta0p1_cyclic,0.0001,0.1,cyclic,6.462991839368797,1.7945382133503658,8.43842317855822,0.5306993050475703,14.15812095443939,-3.1075575436691105,83.75,4.0,this_run_dev_folds_only
gblin_1e-03_eta0p1_cyclic,0.001,0.1,cyclic,6.464417502869613,1.793709383934636,8.440589021779683,0.5305188770626619,14.16077626174119,-3.1113185835378916,83.75,4.0,this_run_dev_folds_only
gblin_3e-03_eta0p1_cyclic,0.003,0.1,cyclic,6.467597589983575,1.7918586663165874,8.445363747285478,0.5301206622643648,14.166663426055058,-3.1194487508945645,83.75,4.0,this_run_dev_folds_only
gblin_1e-02_eta0p1_cyclic,0.01,0.1,cyclic,6.479797154312265,1.7855004594532196,8.45959303031833,0.5289183094467103,14.193609694346716,-3.1482300880144307,84.0,4.0,this_run_dev_folds_only
Naive Lag-24,,,,7.351456021707257,1.0113641071743555,10.777186688934698,0.2270053995444772,16.592994206196806,-0.0021304128280211,,4.0,locked_walk_forward_csv
