model,split,MAE,RMSE,R2,sMAPE,bias
Naive Lag-24,validation,8.303585551330798,11.927336319271115,0.2813375496267535,20.065252877645747,0.00729277566539935
Mean Lag-24/48,validation,8.822774714828897,12.364520522907746,0.22768835611537652,20.511290059536837,-0.00842870722433463
Mean Lag-24/48/168,validation,9.078570975918884,12.3881977047592,0.2247276797901362,20.4097982912081,-0.05889036755386552
Naive Lag-24,test,6.045923954372624,9.030375003266464,0.21892276348737794,11.675683446297882,-0.0030760456273763786
Ridge,validation,5.486840378023054,7.1232488301070305,0.743673059431947,13.090892988412092,-1.7177250095188477
HistGradientBoosting,validation,6.649754314543516,8.679888688545011,0.6194021464462245,15.76197268028097,-4.298761493400598
Ridge,test,6.365376376129912,7.592943627722672,0.44779191494747783,11.642635644318524,-4.704854184004897
