method,mean_MAE,std_MAE,mean_RMSE,mean_sMAPE,mean_bias,abs_mean_bias,n_folds
expanding_historical,5.702475475367791,0.48526318548826125,7.3102170198489445,12.591765590140911,-1.6292859496463814,1.6292859496463814,4
fold_train_bias,5.796612197102889,0.6489241888822175,7.414207709144404,12.837611483953847,-1.8966296997693368,1.8966296997693368,4
linear_calibration,5.7966229435433,0.6488688165240166,7.414199220001447,12.837700566216789,-1.8965283143770113,1.8965283143770113,4
no_correction,5.796612197102819,0.6489241888808512,7.4142077091438265,12.837611483952651,-1.8966296997593446,1.8966296997593446,4
regime_aware,5.779327208773103,0.6522127388713563,7.409079985581265,12.796416762941046,-1.935752316704749,1.935752316704749,4
