month,MAE
1,8.25848481847584
2,6.228979631322046
3,5.456206104099056
4,5.7895219382970895
5,5.362896173854697
6,4.752236541765515
7,5.332421114725263
8,5.125468967096312
9,4.547526061456606
10,3.799649091239658
11,6.287755613269723
12,6.305374283196901
