model,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,n_folds
Average,5.406119076708669,0.7151046841286436,7.098949086105631,0.6637104337268487,11.89984287481648,-2.033951741940373,4
Ridge_METHOD_B,5.49602246701913,0.5197998249422532,7.150851476127323,0.6386921645554854,12.118404093751026,-0.9148158205400416,4
LGBM_184,5.916945269217411,1.08991539274337,7.852708459176974,0.6061476905646208,13.0035149048647,-3.153087663340705,4
Stack_RidgeMeta,7.155871805706333,2.3636105130759417,8.840358847236384,0.4680217856837372,15.85166018336994,-2.956347014044857,4
