fold,alpha,n_train,n_val,train_start,train_end,val_start,val_end,y_mean,y_std,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
3,1.0,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.839225604765619,6.265666670358967,0.382973867452444,9.563054207026836,0.03467432229365367,0.03467432229365367,6.2655707254344115
4,1.0,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.40818623559254,7.039157440406916,0.7305152838339044,12.708859462657907,-1.767224741028625,-1.767224741028625,6.813710750063606
1,3.0,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.175526558003353,8.085889840904345,0.6966386575871295,15.296472987412264,-2.2797634252351244,-2.2797634252351244,7.75785364931566
2,3.0,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,7.586688514460861,9.149652626148296,0.6222794936434384,16.269961412022212,-6.556072011765217,-6.556072011765217,6.382324259682454
3,3.0,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.831970959468586,6.267943754825729,0.38252530355524983,9.564234347301447,-0.07219890069713811,-0.07219890069713811,6.267527920352408
4,3.0,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.43339545285599,7.075343202343391,0.7277375155116198,12.771830519887434,-1.8504594990889023,-1.8504594990889023,6.829076150781926
1,10.0,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.181459100125771,8.094683775195616,0.6959784481519389,15.313333020041146,-2.2908784083905562,-2.2908784083905562,7.763747905385975
2,10.0,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,7.617346550549371,9.180651455401232,0.6197157398699047,16.34510928709044,-6.591117372797428,-6.591117372797428,6.390738057812156
3,10.0,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,4.833710690829631,6.274442115168627,0.3812442923410393,9.571363400650693,-0.10159980393079376,-0.10159980393079376,6.27361947654167
4,10.0,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,5.449249317720249,7.097642902382864,0.7260186054094275,12.809221574867108,-1.8943649052229674,-1.8943649052229674,6.840169323606356
