model,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,mean_p75_bias,mean_p90_bias,mean_trees,n_folds
Ridge_METHOD_B,5.49602246701913,0.5197998249422532,7.150851476127323,0.6386921645554854,12.118404093751026,-0.9148158205400416,-5.895626285487727,-8.211141731867773,,4
LGBM_184,5.916945269217411,1.08991539274337,7.852708459176974,0.6061476905646208,13.0035149048647,-3.153087663340705,-8.363498449252486,-11.616502945778272,200.0,4
LGBM_METHOD_B_addend,6.14561299724752,1.1491974231499926,7.927440148614466,0.5993773890996025,13.558355657107535,-1.9180508930894558,-7.100411665926259,-10.358498645196672,200.0,4
LGBM_METHOD_B,6.1507889923678745,1.1901164974657743,7.941555823914208,0.5987934366300058,13.582338863694595,-1.9783549131433755,-7.160715685980179,-10.418802665250592,200.0,4
LGBM_tuned_METHOD_B_addend,6.222091599258633,1.1300936688374354,8.186406783643559,0.5693813096560687,13.60041457843062,-2.019869903870792,-8.466156294254743,-12.137785716770955,66.75,4
