fold,feature,coefficient,abs_coefficient
1,rain_1h_barcelona_lag_168,0.4039243122475062,0.4039243122475062
1,hour_cos,-0.40345335376431507,0.40345335376431507
1,humidity_valencia_lag_168,-0.38671209970874537,0.38671209970874537
1,price_day_ahead_lag_168,0.3766498091008983,0.3766498091008983
1,rain_1h_national_max_lag_168,-0.37594993456460274,0.37594993456460274
1,generation_waste_lag_168,-0.36069397684076854,0.36069397684076854
1,generation_fossil_oil_lag_168,0.3599215865654871,0.3599215865654871
1,rain_3h_bilbao_lag_24,0.32016865406628964,0.32016865406628964
1,forecast_wind_onshore_day_ahead,0.3078133115390049,0.3078133115390049
1,rain_1h_bilbao_lag_168,0.3064267082404167,0.3064267082404167
1,humidity_bilbao_lag_168,-0.2879231092975892,0.2879231092975892
1,generation_waste_lag_24,-0.28269455222942674,0.28269455222942674
1,pressure_barcelona_lag_24,-0.2754273653151629,0.2754273653151629
1,generation_fossil_oil_lag_24,0.2609962600388203,0.2609962600388203
1,renewable_share_lag_168,0.2437451137245623,0.2437451137245623
1,generation_other_lag_24,-0.24139190134475694,0.24139190134475694
1,generation_other_renewable_lag_24,-0.22707660873784855,0.22707660873784855
1,load_forecast_error_lag_24,0.21253491182471718,0.21253491182471718
1,fossil_generation_lag_168,-0.21244199319669063,0.21244199319669063
1,is_year_start,0.20714420846096154,0.20714420846096154
1,dow_cos,-0.2020896373651717,0.2020896373651717
1,wind_deg_cos_madrid_lag_168,0.19084341471442434,0.19084341471442434
1,pressure_madrid_lag_168,-0.1860293152982915,0.1860293152982915
1,wind_deg_cos_seville_lag_168,0.1830279894511304,0.1830279894511304
1,rain_1h_barcelona_lag_24,0.18220934315443832,0.18220934315443832
1,pressure_valencia_lag_24,-0.17551700876689225,0.17551700876689225
1,wind_deg_cos_bilbao_lag_168,-0.17328045520675323,0.17328045520675323
1,wind_deg_cos_madrid_lag_24,0.16915226231714164,0.16915226231714164
1,pressure_bilbao_lag_168,0.16729003381472024,0.16729003381472024
1,is_weekend,0.16699709740921823,0.16699709740921823
1,generation_hydro_pumped_storage_consumption_lag_168,-0.15961057783779828,0.15961057783779828
1,temp_barcelona_lag_168,-0.1574930284685012,0.1574930284685012
1,wind_deg_cos_barcelona_lag_24,0.1549882508017564,0.1549882508017564
1,snow_3h_bilbao_lag_168,0.15012753970222928,0.15012753970222928
1,wind_deg_sin_seville_lag_24,-0.1484100679111658,0.1484100679111658
1,generation_hydro_pumped_storage_consumption_lag_24,-0.139658483430912,0.139658483430912
1,pressure_seville_lag_24,-0.13575962183723367,0.13575962183723367
1,wind_deg_sin_valencia_lag_168,-0.1324184446493112,0.1324184446493112
1,snow_3h_bilbao_lag_24,0.13195481321258962,0.13195481321258962
1,is_year_end,0.12190437191373735,0.12190437191373735
1,pressure_seville_lag_168,0.11731474220413547,0.11731474220413547
1,dow_sin,-0.11053808225126935,0.11053808225126935
1,rain_1h_national_max_lag_24,-0.10604146015061575,0.10604146015061575
1,rain_1h_valencia_lag_168,0.105616831266878,0.105616831266878
