month,MAE
1,8.287285150238652
2,6.173794582727906
3,5.522842818096027
4,5.854330807985811
5,5.413856183386268
6,4.75766885371452
7,5.290651392408352
8,5.103049353427374
9,4.545802112819415
10,3.796430855945859
11,6.246403703122495
12,6.286942802616133
