method,mean_mae,mae_std,mean_bias,p75_mae,p75_bias,p90_mae,p90_bias,rmse
CURRENT_BEST,5.702475475367791,0.48526318548826125,-1.6292859496463814,7.44833421064233,-6.580579435415493,9.180671273568773,-8.663258044286135,7.3102170198489445
METHOD_A,5.529761134011018,0.40887671242043244,-1.1804836247854562,7.115124528033724,-6.030361671706169,8.769739811524166,-8.146419705130944,7.152310044304292
METHOD_B,5.49602246701913,0.45015985328269514,-0.9148158205400416,7.031527030436722,-5.895626285487727,8.94615642214634,-8.211141731867773,7.150851476127323
METHOD_C,5.522295648336128,0.42095883317889055,-1.2146970984838767,7.053918998302141,-5.907972722036107,8.62493602631561,-7.884585560339124,7.148031654030381
METHOD_D,5.7476535314423405,0.49983035580404434,-1.6466307224671992,7.690955684758551,-6.791715624076117,9.471320646103676,-8.889774158668388,7.382262642638051
METHOD_E,5.676209045713408,0.5158990086091885,-1.6371313916075785,7.455343946094067,-6.600463818653073,9.23632057872048,-8.725617631292229,7.287352958293531
