model,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,mean_sMAPE,mean_bias,n_folds
Naive Lag-24,7.351456021707257,1.0113641071743555,10.777186688934698,1.5110405742218196,0.22700539954447727,16.592994206196806,-0.0021304128280211256,4
Ridge_a0.01,5.80425628047763,0.6678797568735525,7.421856513170726,0.8121228215040438,0.621931296125577,12.863876953024725,-1.9506891824130017,4
Ridge_a0.1,5.871281664780501,0.8110943004473307,7.490158171749012,0.9208589927920444,0.6184865997444973,13.070753664731765,-2.2445133765115397,4
Ridge_a1.0,5.98347261619991,1.0012759550213273,7.616008838625749,1.061988315565854,0.6096616750313681,13.40957648501335,-2.6201489410152705,4
Ridge_a10.0,6.020441414806255,1.0381019856632567,7.661855062037086,1.0882707872664679,0.6057392714430776,13.509756820662346,-2.719490122585437,4
Ridge_a100.0,6.061028670309271,1.0295307487540386,7.721112854600989,1.0898812287544135,0.5998136878942262,13.582256471915983,-2.763810937096773,4
ElasticNet_a0.001_l1_0.1,6.0136012238865,1.0213944241059059,7.656589039919099,1.070350746987867,0.6058019650006476,13.492338499960228,-2.701852815939176,4
ElasticNet_a0.001_l1_0.5,6.007790715136248,1.0189131044529174,7.64993566577084,1.0672846011174653,0.6064389303578501,13.480297931528582,-2.697741657489761,4
ElasticNet_a0.001_l1_0.9,6.001221094614401,1.0154255977865825,7.642705522373167,1.0632766349522023,0.6071255109234632,13.466615234255869,-2.692905428875496,4
ElasticNet_a0.01_l1_0.1,6.084012374840366,1.016340842699192,7.755347122998253,1.0839554934554743,0.5965572042304019,13.616234668443273,-2.790367161823065,4
ElasticNet_a0.01_l1_0.5,6.0296268125888774,0.9883058403783713,7.695129195372644,1.0515557875067292,0.6018555800296558,13.498165330306627,-2.7338905388842276,4
ElasticNet_a0.01_l1_0.9,5.9802680274898306,0.9624569408374419,7.640784635150975,1.0213668679901546,0.6068536638225741,13.39624732204799,-2.6909395405458443,4
ElasticNet_a0.1_l1_0.1,6.311271703169945,1.0642870800823456,8.085665642652197,1.2399196962636083,0.5695900497544832,13.92972045008094,-3.1140667807331353,4
ElasticNet_a0.1_l1_0.5,6.176769036934909,0.9401889782938773,7.929346699315191,1.111147523811777,0.5815971408077703,13.633438146379074,-3.008847309973686,4
ElasticNet_a0.1_l1_0.9,5.990157533734303,0.828324402479999,7.733388990260126,0.9649136808891245,0.5974058374124035,13.261099588959798,-2.915196507120297,4
ElasticNet_a1.0_l1_0.1,6.756496403254231,1.3855521653630032,8.925872396253295,1.7254820544284157,0.49058466234359716,14.480908361527149,-3.478009386286822,4
ElasticNet_a1.0_l1_0.5,6.432613178382098,1.0701898846432814,8.532393888662664,1.349502196892588,0.5268085828542164,13.758436401750753,-3.079349676155523,4
ElasticNet_a1.0_l1_0.9,6.1605494164499595,0.7965275699030983,8.113813883138734,1.0259951099578848,0.5607770291077523,13.208665866222137,-2.5838750274967723,4
HistGradientBoosting,6.014534180649052,1.0049719844200748,7.934272954249263,1.3409120375380053,0.6000532041851263,13.240264029602514,-3.1856228606354824,4
RandomForest,6.297255921427849,1.013860352924091,8.552030288828718,1.4173101033711715,0.5328002937519999,13.702563124254302,-3.199364430287273,4
LightGBM,5.916945269217412,0.9438944180914521,7.852708459176974,1.2817022313773854,0.6061476905646208,13.0035149048647,-3.1530876633407043,4
XGBoost,5.945953023720335,0.9604826564121959,7.905744590312022,1.3026223178912402,0.6013872045379008,13.056313024010391,-3.0690633497151163,4
