fold,method,alpha,n_train,n_val,train_start,train_end,val_start,val_end,y_mean,y_std,train_residual_mean,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
1,expanding_historical,0.001,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,1.6387932481986165e-12,6.4703735703592935,8.30406932561759,0.6800467477120166,15.85458250766211,-3.120101246857104,-3.120101246857104,7.695617946209629
2,expanding_historical,0.001,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,2.9358694451286e-12,5.7149730428349015,7.339460909302308,0.7569533303210993,11.759209064697545,-3.0119946600084777,-3.0119946600084777,6.692949619357452
3,expanding_historical,0.001,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,1.8273379911879578e-11,5.158022873896885,6.500249698570653,0.33590675371826206,9.970147464615899,1.627017833601086,1.627017833601086,6.293334498730533
4,expanding_historical,0.001,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,1.7119045368643508e-11,5.466532414380085,7.097088145905229,0.7260614328707569,12.783123323588095,-2.01206572532103,-2.01206572532103,6.805898299837933
1,fold_train_bias,0.001,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,1.6387932481986165e-12,6.282325742281919,8.105771996831814,0.6951449709448239,15.429996893737059,-2.5457816266520363,-2.5457816266520363,7.69561794620963
2,fold_train_bias,0.001,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,2.9358694451286e-12,6.572840975729119,8.26729976661803,0.6916182125403274,13.715558074256053,-4.853109397475546,-4.853109397475546,6.692949619357454
3,fold_train_bias,0.001,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T04:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,7.976557643809881,1.8273379911879578e-11,5.007982491787103,6.373591203676639,0.3615345607097039,9.759241342808203,1.0082686738525322,1.0082686738525322,6.293334498730533
4,fold_train_bias,0.001,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T09:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,13.559810158109443,1.7119045368643508e-11,5.323299578613416,6.910167869451133,0.7403011795214345,12.445649625014067,-1.195896448802297,-1.195896448802297,6.805898299837932
1,linear_calibration,0.001,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,1.6387932481986165e-12,6.282270257733164,8.105722624057332,0.6951486847163846,15.429995929618459,-2.54569933419199,-2.54569933419199,7.695593164795638
2,linear_calibration,0.001,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T00:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,14.887416013056798,2.9358694451286e-12,6.572811646369126,8.267208150470802,0.6916250473220567,13.715675424227413,-4.8530272564371355,-4.8530272564371355,6.692896013796203
