fold,method,n_train,n_val,train_start,val_start,val_end,y_mean,method_e_weight,MAE,RMSE,sMAPE,bias,p75_mae,p75_bias,p75_n,p90_mae,p90_bias,p90_n,train_p75,train_p90
1,CURRENT_BEST,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,,6.4703735703592935,8.30406932561759,15.85458250766211,-3.120101246857104,7.921162054969078,-7.556642928513833,1104,9.022590636553948,-8.91836045617407,601,55.1875,62.93
2,CURRENT_BEST,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,,5.7149730428349015,7.339460909302308,11.759209064697545,-3.0119946600084777,9.186043496321401,-8.818368844056778,789,10.596795737851917,-10.336229784083965,483,56.4975,63.769
3,CURRENT_BEST,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,,5.158022873896885,6.500249698570653,9.970147464615899,1.627017833601086,6.925921151838902,-5.819022381260114,409,10.878981635615325,-10.58687258029646,167,56.6,64.2
4,CURRENT_BEST,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,,5.466532414380085,7.097088145905229,12.783123323588095,-2.01206572532103,5.7602101394399385,-4.128283587831251,2583,6.224317084253906,-4.81156935659004,1141,55.69,63.98
1,METHOD_A,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,,6.231020326488463,8.115564061339475,15.268490256561837,-2.62117312402188,7.353058299976144,-6.943213746409468,1104,8.31700841922977,-8.1974336859273,601,55.1875,62.93
2,METHOD_A,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,,5.3817613894770595,7.041625284075648,11.093990868256554,-2.416126416823198,8.408609129961802,-7.684375734495841,789,9.576966419989205,-9.003576614620101,483,56.4975,63.769
3,METHOD_A,20862,2981,2014-12-31T23:00:00+00:00,2017-05-19T05:00:00+00:00,2017-09-20T09:00:00+00:00,50.48821200939282,,5.221474846317319,6.497989125897642,10.046338773065004,1.8880065053547237,7.063181081045652,-5.608402613167416,409,11.00019261513722,-10.737424698425931,167,56.6,64.2
4,METHOD_A,23843,5961,2014-12-31T23:00:00+00:00,2017-09-20T10:00:00+00:00,2018-05-26T18:00:00+00:00,52.81512330145949,,5.284787973761233,6.954061705904401,12.33292935505019,-1.5726414636514703,5.635649601151296,-3.8854545927519526,2583,6.18479179174047,-4.647243821550438,1141,55.69,63.98
1,METHOD_B,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,,5.576938959092604,7.342848313782339,13.856886324907139,-1.0825081745266076,5.935722245566791,-5.295373961586462,1104,6.719654973653353,-6.487586877188704,601,55.1875,62.93
2,METHOD_B,17882,2980,2014-12-31T23:00:00+00:00,2017-01-15T01:00:00+00:00,2017-05-19T04:00:00+00:00,51.95262751677853,,6.198483524775313,8.080877327797035,12.876033664105673,-4.334786592155098,10.193406345449395,-9.872615812285353,789,12.53999982372456,-12.501409990869373,483,56.4975,63.769
