model,mean_MAE,std_MAE,mean_RMSE,mean_R2,mean_sMAPE,mean_bias,n_folds
AR1_STEP_1_diagnostic,1.8167929982695594,0.2036272207978233,2.7440428144333042,0.9487936488366636,4.239731757594915,-0.11827042499047469,4
AR1_DAM_24,4.529616904270374,0.5612198070785088,6.070564737403143,0.7478053505754956,10.146126250903565,-0.7126791925527947,4
ARMA11_DAM_24,4.582369452992574,0.5501889816381825,6.131973937300414,0.7425420270671377,10.232020225351327,-0.7241099300268053,4
SAR_AR1_s24_DAM_24,4.714382500623701,0.6274182323908306,6.284530077604913,0.7328448077380121,10.404523216290785,-0.8375180146268839,4
SARIMA1111_s24_DAM_24,4.86529595179177,0.6002760322446861,6.471771986790261,0.7165902488211395,10.708815127909208,-0.8886744041948694,4
Ridge_METHOD_B,5.49602246701913,0.5197998249422532,7.150851476127323,0.6386921645554854,12.118404093751026,-0.9148158205400416,4
