alpha,mean_MAE,std_MAE,mean_RMSE,std_RMSE,mean_R2,mean_sMAPE,mean_bias,abs_mean_bias,n_folds
0.001,5.796612197102819,0.6489241888808512,7.4142077091438265,0.7973340099940016,0.6221497309290251,12.837611483952651,-1.8966296997593446,1.8966296997593446,4
0.003,5.798230395904309,0.6531280850999208,7.415831792876709,0.8006141574089932,0.6221121094919307,12.843368391795721,-1.9093851671852256,1.9093851671852256,4
0.01,5.80425628047763,0.6678797568735525,7.421856513170726,0.8121228215040438,0.621931296125577,12.863876953024725,-1.9506891824130017,1.9506891824130017,4
0.03,5.8219381081704,0.7082077999447496,7.439807107597551,0.8433592681566002,0.6211937520910389,12.921658136831391,-2.0464265062487685,2.0464265062487685,4
0.1,5.871281664780501,0.8110943004473307,7.490158171749012,0.9208589927920444,0.6184865997444973,13.070753664731765,-2.2445133765115397,2.2445133765115397,4
0.3,5.933190682788164,0.9254159897159078,7.557277588488551,1.006370643931408,0.614093029868304,13.257694966614524,-2.457562555501357,2.457562555501357,4
1.0,5.98347261619991,1.0012759550213273,7.616008838625749,1.061988315565854,0.6096616750313681,13.40957648501335,-2.6201489410152705,2.6201489410152705,4
3.0,6.0068953711971975,1.0287774762162778,7.64470735605544,1.0815678208179496,0.6072952425743594,13.475624816655838,-2.6896234591965955,2.6896234591965955,4
10.0,6.020441414806255,1.0381019856632567,7.661855062037086,1.0882707872664679,0.6057392714430776,13.509756820662346,-2.719490122585437,2.719490122585437,4
