fold,model,n_train,n_val,train_start,train_end,val_start,val_end,y_mean,y_std,MAE,RMSE,R2,sMAPE,bias
1,Naive Lag-24,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,7.290285234899328,10.368545730741115,0.5011840962065466,18.715921266894746,-0.06687583892617445
1,Ridge_a0.01,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.26800160912824,8.097659110478432,0.6957549107490695,15.406935390550828,-2.5196646914186522
1,Ridge_a0.1,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.209471328797491,8.075136320542297,0.6974450087039796,15.321370633458834,-2.396148234745592
1,Ridge_a1.0,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.175571368421694,8.08057771622832,0.6970371205786686,15.289726245694263,-2.28853244073248
1,Ridge_a10.0,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.181459100125771,8.094683775195616,0.6959784481519389,15.313333020041146,-2.2908784083905562
1,Ridge_a100.0,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.226802575697515,8.162056284151758,0.6908966105887069,15.413104132113897,-2.4492150305671423
1,ElasticNet_a0.001_l1_0.1,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.170087059195533,8.079936726316795,0.6970851835894614,15.282628824912214,-2.2466728553998734
1,ElasticNet_a0.001_l1_0.5,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.169170271000013,8.077171029988076,0.6972925186325569,15.279614747800563,-2.237652811423473
1,ElasticNet_a0.001_l1_0.9,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.168048737651842,8.07472961907928,0.6974754840926406,15.276067383282296,-2.226299453547841
1,ElasticNet_a0.01_l1_0.1,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.250201337359245,8.19140213544054,0.6886699146337659,15.45623118544793,-2.514574046333841
1,ElasticNet_a0.01_l1_0.5,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.2262436016318246,8.151844980857996,0.6916695467073144,15.397366861614097,-2.462946401938662
1,ElasticNet_a0.01_l1_0.9,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.2200524457470445,8.132917093778861,0.693099718311183,15.383609637484852,-2.4133353825162165
1,ElasticNet_a0.1_l1_0.1,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.380775727056078,8.403878460011533,0.6723092952242138,15.518409511935428,-3.0046531925173476
1,ElasticNet_a0.1_l1_0.5,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.310696566569835,8.242275841077019,0.6847907988549429,15.35658518410351,-3.0639779915463135
1,ElasticNet_a0.1_l1_0.9,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.233964838853499,8.079396775667583,0.6971256674675684,15.271029580788436,-3.0166149837951273
1,ElasticNet_a1.0_l1_0.1,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.70500773375204,8.928872749299016,0.6300884737131027,15.664990919459013,-3.2927376403713096
1,ElasticNet_a1.0_l1_0.5,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.51873104146939,8.562086042348149,0.6598552498233099,15.260693684352242,-3.1946938003608945
1,ElasticNet_a1.0_l1_0.9,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.274305400702976,8.049991203842604,0.699326323236003,14.829906150644062,-2.7192687619787095
1,HistGradientBoosting,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,6.867666895343625,8.82302655073668,0.63880663074781,16.46052043159553,-4.215107641766248
1,RandomForest,14902,2980,2014-12-31T23:00:00+00:00,2016-09-12T20:00:00+00:00,2016-09-12T21:00:00+00:00,2017-01-15T00:00:00+00:00,49.07327516778523,14.680731697224545,7.0173552250978855,9.210395688585612,0.6063944863362551,16.720425753360303,-4.164290002640043
